       theta            z
       0.494       -0.500
       0.494       -1.500
       0.494       -2.500
       0.494       -3.500
       0.494       -4.500
       0.494       -5.500
       0.493       -6.500
       0.493       -7.500
       0.493       -8.500
       0.493       -9.500
       0.493      -10.500
       0.493      -11.500
       0.493      -12.500
       0.493      -13.500
       0.493      -14.500
       0.492      -15.500
       0.492      -16.500
       0.492      -17.500
       0.492      -18.500
       0.492      -19.500
       0.492      -20.500
       0.491      -21.500
       0.491      -22.500
       0.491      -23.500
       0.491      -24.500
       0.490      -25.500
       0.490      -26.500
       0.490      -27.500
       0.490      -28.500
       0.489      -29.500
       0.489      -30.500
       0.489      -31.500
       0.488      -32.500
       0.488      -33.500
       0.488      -34.500
       0.487      -35.500
       0.487      -36.500
       0.486      -37.500
       0.486      -38.500
       0.485      -39.500
       0.485      -40.500
       0.484      -41.500
       0.483      -42.500
       0.483      -43.500
       0.482      -44.500
       0.481      -45.500
       0.480      -46.500
       0.479      -47.500
       0.478      -48.500
       0.477      -49.500
       0.475      -50.500
       0.474      -51.500
       0.472      -52.500
       0.470      -53.500
       0.468      -54.500
       0.466      -55.500
       0.464      -56.500
       0.461      -57.500
       0.458      -58.500
       0.455      -59.500
       0.451      -60.500
       0.447      -61.500
       0.443      -62.500
       0.438      -63.500
       0.432      -64.500
       0.426      -65.500
       0.419      -66.500
       0.412      -67.500
       0.404      -68.500
       0.395      -69.500
       0.386      -70.500
       0.376      -71.500
       0.366      -72.500
       0.355      -73.500
       0.345      -74.500
       0.335      -75.500
       0.324      -76.500
       0.314      -77.500
       0.305      -78.500
       0.296      -79.500
       0.288      -80.500
       0.281      -81.500
       0.275      -82.500
       0.269      -83.500
       0.264      -84.500
       0.260      -85.500
       0.256      -86.500
       0.253      -87.500
       0.251      -88.500
       0.248      -89.500
       0.247      -90.500
       0.245      -91.500
       0.244      -92.500
       0.243      -93.500
       0.243      -94.500
       0.242      -95.500
       0.242      -96.500
       0.241      -97.500
       0.241      -98.500
       0.241      -99.500
       0.241     -100.500
       0.240     -101.500
       0.240     -102.500
       0.240     -103.500
       0.240     -104.500
       0.240     -105.500
       0.240     -106.500
       0.240     -107.500
       0.240     -108.500
       0.240     -109.500
       0.240     -110.500
       0.240     -111.500
       0.240     -112.500
       0.240     -113.500
       0.240     -114.500
       0.240     -115.500
       0.240     -116.500
       0.240     -117.500
       0.240     -118.500
       0.240     -119.500
       0.240     -120.500
       0.240     -121.500
       0.240     -122.500
       0.240     -123.500
       0.240     -124.500
       0.240     -125.500
       0.240     -126.500
       0.240     -127.500
       0.240     -128.500
       0.240     -129.500
       0.240     -130.500
       0.240     -131.500
       0.240     -132.500
       0.240     -133.500
       0.240     -134.500
       0.240     -135.500
       0.240     -136.500
       0.240     -137.500
       0.240     -138.500
       0.240     -139.500
       0.240     -140.500
       0.240     -141.500
       0.240     -142.500
       0.240     -143.500
       0.240     -144.500
       0.240     -145.500
       0.240     -146.500
       0.240     -147.500
       0.240     -148.500
       0.240     -149.500
